Código MP;Nome MP;Volume Anual (kg);Preço Referência (USD);Fornecedor Selecionado;Estado Fornecedor;Homologado;Preço (USD);Custo Projetado (USD);Saving Unitário (USD);Saving Unitário (%);Saving Total (USD);Lote Mínimo (MOQ);Lead Time c/ Estoque;Lead Time s/ Estoque;Status;Ação / Observação;Data Decisão
MP0005;TINOGARD TT;2379,15;21,4000;BASF;SP;Sim;21,0500;50081,11;-0,3500;-1,64;-832,70;40kg;4 dias úteis;90 dias;DECIDIDO;Fechar basf.;21/03/2026
MP0041;BHT;231,48;4,7400;ANASTACIO;SP;Sim;4,8700;1127,31;0,1300;2,74;30,09;20/25;12 dias;120;DECIDIDO;;21/03/2026
MP0006;HIDROXIETILCELULOSE;8713,09;7,6700;KHOL QUIMICA;ES;Sim;7,2500;63169,90;-0,4200;-5,48;-3659,50;25;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;Homologar Maian. Fechar Khol.;21/03/2026
MP0007;OLEO DE COCO;4294,89;2,4000;KHOL QUIMICA2;ES;Sim;2,1000;9019,27;-0,3000;-12,50;-1288,47;50;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;;21/03/2026
MP0008;WAVEMAX;6669,06;19,6300;CHEMYUNION;ES;Sim;19,6300;130913,65;0,0000;0,00;0,00;20;3 dias;45 dias;DECIDIDO;;21/03/2026
MP0010;ACIDO CAPRICO CAPRILICO / PURIT TCM;30902,49;5,8000;KHOL QUIMICA2;ES;Sim;5,5000;169963,70;-0,3000;-5,17;-9270,75;155;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;;21/03/2026
MP0014;GLASIK 700 - POLIQUATERNIUM 7;50530,44;0,9100;ANASTACIO2;ES;Sim;1,0200;51541,05;0,1100;12,09;5558,35;200;12 dias;20;DECIDIDO;Homologar Khol e Chemax. Tentar SPOT com Anastacio.;21/03/2026
MP0015;ALCOOL CETO ESTERAILICO C16 C18 S;194308,62;2,6300;ALPHA QUIMICA2;ES;Não;2,3500;456625,26;-0,2800;-10,65;-54406,41;2000;5;30;DECIDIDO;;21/03/2026
MP0016;EXTRATO DE BURITI;305,94;4,9600;PHYTOVITAL;SP;Sim;4,5000;1376,73;-0,4600;-9,27;-140,73;5;;;DECIDIDO;;21/03/2026
MP0017;MISTURA DE IZOTIAZOLINONA;540,39;0,9700;THOR2;SP;Sim;0,8800;475,54;-0,0900;-9,28;-48,64;25;7;90-110;DECIDIDO;;21/03/2026
